Puerto, Latitud, Longitud
Tocopilla, -22.093103, -70.211854
Punta Arenas, -53.123278, -70.860250
Antofagasta, -23.645967, -70.407993
Iquique, -20.203869, -70.156805
Arica, -18.474642, -70.321262
Cruz Grande, -29.451288, -71.313573
Valdivia, -39.840882, -73.266969
Lirquen, -36.713687, -72.986593
Guayacan, -29.975174, -71.347245
Punta Patache, -20.799534, -70.188508
Puerto Angamos, -23.079884, -70.385076
Caldera, -27.055978, -70.833427
Puerto Natales, -51.729782, -72.515097
Lota, -37.095664, -73.166995
Port Williams, -54.932902, -67.608116
Isla Guarello, -50.394799, -75.342221
Corral, -39.879055, -73.422605
Quellon, -43.121427, -73.621572
Castro, -42.481975, -73.757947
Calderilla, -27.082483, -70.844497
Chacabuco, -45.462659, -72.824656
Cabo Negro, -52.847837, -70.267816
Caleta Patillos, -20.736956, -70.182595
Puerto Chacabuco, -45.462659, -72.824656
Valparaiso, -33.027986, -71.623447
Talcahuano, -36.737253, -73.133979
Taltal, -25.407497, -70.489783
La Serena, -29.913745, -71.277043
Barquito, -26.356527, -70.639502
San Antonio, -33.589508, -71.619720
Huasco, -28.461003, -71.223519
Penco, -36.713394, -72.987537
Quemchi, -42.145117, -73.477210
Mejillones, -23.097062, -70.448128
Puerto Montt, -41.475514, -72.944576
Isla de Pascua, -27.153662, -109.442666
Coquimbo, -29.976712, -71.356026
Quintero, -32.775540, -71.526049
Ancud, -41.867364, -73.830638
San Vicente, -36.716378, -73.104731 
Balmaceda, -43.794417, -73.033064
Caleta Coloso, -23.759540, -70.463459
Coronel, -37.026453, -73.149839
